ACL Name,ACL Rule
nexus-dc-customer-1-emear-location,10 permit 10.246.84.201/23 136.4.44.86/32 udp
nexus-dc-customer-1-emear-location,10 permit 10.246.84.201/23 136.4.44.86/32 udp
nexus-dc-customer-1-emear-location,20 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,20 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,30 permit 10.246.84.201/23 136.4.44.86/32 udp
nexus-dc-customer-1-emear-location,30 permit 10.246.84.201/23 136.4.44.86/32 udp
nexus-dc-customer-1-emear-location,40 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,40 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,50 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,50 permit 10.246.84.201/23 136.4.44.86/32 tcp
nexus-dc-customer-1-emear-location,60 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,60 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,70 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,70 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,80 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,80 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,90 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,90 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,100 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,100 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,110 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,110 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,120 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,120 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,130 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,130 permit 10.246.84.201/23 92.72.70.166/32 udp
nexus-dc-customer-1-emear-location,140 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,140 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,150 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,150 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,160 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,160 permit 10.246.84.201/23 92.72.70.166/32 tcp
nexus-dc-customer-1-emear-location,170 permit 10.246.84.201/23 92.72.70.166/32 udp
